group number,time (hr),time (min),time since start (min),dilution factor,µL plated,number of wildtype colonies,number of delta colonies,wildtype / mL,delta / mL
1,10,30,0,10,100,87,106,8700,10600
2,10,30,0,10,100,98,110,9800,11000
2,11,45,75,10,100,46,42,4600,4200
2,12,30,120,10,100,88,107,8800,10700
2,13,30,180,10,100,37,21,3700,2100
2,14,30,240,50,100,35,22,17500,11000
2,15,25,295,50,100,62,34,31000,17000
2,16,45,375,50,100,33,16,16500,8000
2,17,30,420,100,100,65,32,65000,32000
2,18,30,480,500,100,63,33,315000,165000
2,19,30,540,500,100,85,32,425000,160000
2,20,30,600,500,100,168,54,840000,270000
2,21,30,660,1000,100,128,37,1280000,370000
2,22,40,730,1000,100,282,44,2820000,440000
3,10,30,0,10,100,80,113,8000,11300
3,11,45,75,10,100,92,108,9200,10800
3,13,30,180,10,100,81,82,8100,8200
3,14,30,240,50,100,19,24,9500,12000
3,15,25,295,50,100,52,49,26000,24500
3,16,45,375,50,100,98,50,49000,25000
3,17,30,420,100,100,75,40,75000,40000
3,18,30,480,500,100,47,31,235000,155000
3,19,30,540,500,100,73,32,365000,160000
3,20,30,600,500,100,136,32,680000,160000
3,21,30,660,1000,100,106,37,1060000,370000
3,22,40,730,1000,100,229,42,2290000,420000
4,10,30,0,10,100,40,62,4000,6200
4,11,45,75,10,100,90,100,9000,10000
4,12,30,120,10,100,78,92,7800,9200
4,13,30,180,10,100,58,69,5800,6900
4,14,30,240,50,100,12,15,6000,7500
4,15,25,295,50,100,50,32,25000,16000
4,16,45,375,50,100,134,58,67000,29000
4,17,30,420,100,100,129,45,129000,45000
4,18,30,480,500,100,45,22,225000,110000
4,19,30,540,500,100,87,33,435000,165000
4,20,30,600,500,100,157,76,785000,380000
4,21,30,660,1000,100,105,31,1050000,310000
4,22,40,730,1000,100,261,48,2610000,480000
5,10,30,0,10,100,90,50,9000,5000
5,11,45,75,10,100,99,91,9900,9100
5,12,30,120,10,100,66,68,6600,6800
5,13,30,180,10,100,55,41,5500,4100
5,14,30,240,50,100,21,19,10500,9500
5,15,25,295,50,100,46,30,23000,15000
5,16,45,375,50,100,129,55,64500,27500
5,17,30,420,100,100,107,67,107000,67000
5,18,30,480,500,100,59,12,295000,60000
5,19,30,540,500,100,80,42,400000,210000
5,20,30,600,500,100,162,74,810000,370000
5,21,30,660,1000,100,134,27,1340000,270000
5,22,40,730,1000,100,240,37,2400000,370000
