time (hr),time (min),time since start (min),number of wildtype colonies,number of delta colonies,dilution factor,µL plated,wildtype / mL,delta / mL
11,10,0,178,101,10,100,17800,10100
12,20,22,116,83,10,100,11600,8300
13,10,24,142,99,10,100,14200,9900
14,10,36,159,85,10,100,15900,8500
15,10,48,22,9,100,100,22000,9000
17,0,62,37,9,100,100,37000,9000
18,0,74,185,47,100,100,185000,47000
19,0,86,480,118,1000,10,48000000,11800000
20,45,143,52,18,1000,100,520000,180000
22,45,167,224,43,1000,100,2240000,430000
